iter	RMSE
0	2801684.817
1	2730242.228
2	2664981.309
3	2605536.28
4	2551937.426
5	2503461.032
6	2460454.367
7	2421173.935
8	2385979.101
9	2354357.949
10	2326497.3
11	2301269.351
12	2278676.144
13	2258420.66
14	2240455.851
15	2224475.287
16	2210108.907
17	2197261.335
18	2186029.689
19	2175660.662
20	2166674.129
21	2158608.597
22	2151367.889
23	2145051.91
24	2131553.475
25	2125280.628
26	2120475.774
27	2115588.783
28	2111420.147
29	2107882.508
30	2104466.943
31	2101670.477
32	2095935.671
33	2090895.335
34	2086101.142
35	2082282.937
36	2076460.809
37	2073077.784
38	2070137.493
39	2061707.997
40	2057641.968
41	2054005.53
42	2051459.059
43	2048999.959
44	2046978.254
45	2045057.906
46	2043367.374
47	2037124.125
48	2035560.841
49	2034312.959
50	2031830.096
51	2031383.67
52	2028984.398
53	2022214.562
54	2021022.675
55	2018834.906
56	2014322.921
57	2007343.137
58	2005478.653
59	2003982.61
60	2001422.881
61	1996420.316
62	1994485.564
63	1992901.909
64	1990713.382
65	1985643.002
66	1984965.255
67	1979699.846
68	1978850.193
69	1977954.1
70	1973883.043
71	1973586.589
72	1972742.749
73	1972260.57
74	1971107.229
75	1970377.167
76	1969520.508
77	1964738.621
78	1963715.583
79	1963122.062
80	1962251.295
81	1960861.837
82	1960133.216
83	1959302.288
84	1958781.587
85	1958075.826
86	1957190.345
87	1956469.243
88	1955069.636
89	1954096.462
90	1953527.646
91	1952434.349
92	1951761.431
93	1951026.263
94	1950211.944
95	1949537.555
96	1947678.109
97	1946848.283
98	1946099.292
99	1943998.653
100	1943369.893
101	1942750.53
102	1941962.976
103	1941525.293
104	1940919.865
105	1940431.106
106	1939848.049
107	1939131.899
108	1937552.725
109	1936803.368
110	1936167.326
111	1935415.362
112	1934917.375
113	1931952.392
114	1928748.485
115	1928097.246
116	1927627.591
117	1926626.515
118	1926174.925
119	1925833.611
120	1925261.716
121	1924949.641
122	1924366.812
123	1921290.735
124	1920602.966
125	1917353.989
126	1916798.488
127	1916406.997
128	1915887.655
129	1915302.462
130	1912219.999
131	1910388.55
132	1909702.39
133	1908680.62
134	1905382.035
135	1904956.757
136	1904490.741
137	1904061.985
138	1903787.874
139	1903544.956
140	1902460.741
141	1901761.453
142	1901348.517
143	1898656.065
144	1898444.917
145	1898087.875
146	1897078.957
147	1894895.47
148	1894536.687
149	1894123.276
150	1893175.926
151	1892063.102
152	1891788.917
153	1891428.464
154	1890843.697
155	1890292.599
156	1889347.825
157	1888866.525
158	1886093.699
159	1884997.067
160	1884423.834
161	1884235.987
162	1883712.635
163	1881449.442
164	1881276.288
165	1879197.483
166	1879070.215
167	1878444.462
168	1878041.566
169	1877335.315
170	1877002.881
171	1876678.501
172	1874860.506
173	1874328.294
174	1873889.789
175	1873505.075
176	1873368.59
177	1872667.029
178	1870994.943
179	1870420.397
180	1869631.666
181	1867781.699
182	1867097.369
183	1866770.639
184	1865152.195
185	1864575.751
186	1862232.975
187	1861810.282
188	1861186.474
189	1860742.789
190	1860431.901
191	1858735.952
192	1858398.235
193	1857829.175
194	1857307.963
195	1855919.484
196	1855422.474
197	1853484.472
198	1851806.876
199	1851343.532
200	1850943.431
201	1850747.949
202	1850080.508
203	1849500.851
204	1849126.653
205	1849008.161
206	1848527.511
207	1848310.334
208	1846768.076
209	1846494.531
210	1846330.125
211	1845728.119
212	1845280.792
213	1844673.077
214	1844165.578
215	1842419.142
216	1841854.646
217	1841535.916
218	1841310.886
219	1841018.864
220	1839408.597
221	1838733.121
222	1838244.569
223	1836137.81
224	1835536.524
225	1835322.655
226	1834030.157
227	1833776.308
228	1833286.187
229	1832959.153
230	1832752.877
231	1831339.351
232	1830821.518
233	1829726.969
234	1828599.289
235	1828331.384
236	1827721.194
237	1826708.976
238	1825452.975
239	1824929.44
240	1823721.327
241	1823338.725
242	1822629.824
243	1822111.283
244	1821263.201
245	1820992.81
246	1820625.375
247	1820406.428
248	1819825.317
249	1819010.972
250	1818357
251	1817929.85
252	1816979.862
253	1816752.534
254	1816375.99
255	1816107.048
256	1815703.505
257	1815547.594
258	1814852.307
259	1814480.749
260	1814057.953
261	1813543.192
262	1813383.382
263	1813130.68
264	1812550.5
265	1812356.664
266	1811978.466
267	1811671.461
268	1811084.289
269	1810756.656
270	1810600.532
271	1810118.088
272	1809713.853
273	1809381.872
274	1809212.249
275	1808774.44
276	1808328.57
277	1807895.311
278	1806880.662
279	1806568.221
280	1806209.901
281	1805847.101
282	1805715.072
283	1805237.719
284	1804572.256
285	1804341.673
286	1803961.132
287	1803553.166
288	1803359.83
289	1803215.534
290	1802763.763
291	1802410.824
292	1801833.888
293	1801494.036
294	1801016.286
295	1800849.669
296	1800396.708
297	1800264.374
298	1800077.048
299	1799788.441
300	1799566.833
301	1799201.518
302	1798208.601
303	1797970.299
304	1797657.763
305	1797455.5
306	1797268.487
307	1797133.947
308	1796804.263
309	1796532.211
310	1796358.222
311	1795808.74
312	1795383.123
313	1795046.229
314	1794788.813
315	1793869.244
316	1793384.413
317	1793083.968
318	1792787.052
319	1792604.095
320	1792329.031
321	1792067.844
322	1791749.88
323	1791555.475
324	1790755.133
325	1790410.488
326	1790114.021
327	1789614.937
328	1789314.427
329	1788291.498
330	1788045.016
331	1787574.773
332	1787299.791
333	1786922.745
334	1786096.119
335	1785819.64
336	1785535.266
337	1785026.352
338	1784780.356
339	1784779.398
340	1784602.077
341	1784216.892
342	1783999.676
343	1783675.472
344	1783354.865
345	1782877.871
346	1782618.542
347	1782480.632
348	1781958.286
349	1781795.802
350	1781625.446
351	1781361.369
352	1781104.768
353	1780777.447
354	1780119.951
355	1779889.009
356	1779751.983
357	1779622.31
358	1779500.031
359	1778974.75
360	1778511.962
361	1777594.853
362	1777350.914
363	1777268.586
364	1777081.276
365	1776775.267
366	1776627.964
367	1776387.212
368	1776020.878
369	1775832.792
370	1775594.789
371	1775161.623
372	1774782.84
373	1774367.141
374	1774007.23
375	1773823.383
376	1773308.694
377	1772912.442
378	1772536.13
379	1772283.483
380	1772094.914
381	1771398.073
382	1770923.762
383	1770411.505
384	1770303.437
385	1769871.067
386	1769588.123
387	1769132.483
388	1768974.915
389	1768842.905
390	1768567.071
391	1768162.312
392	1767958.348
393	1767745.317
394	1767616.644
395	1767500.035
396	1767062.004
397	1766950.778
398	1766672.394
399	1766588.742
