iter	Passed	Remaining
0	41	4085
1	98	4821
2	145	4701
3	189	4544
4	236	4499
5	271	4260
6	306	4065
7	340	3916
8	379	3841
9	439	3959
10	485	3932
11	520	3814
12	563	3769
13	594	3653
14	627	3554
15	661	3474
16	702	3427
17	736	3353
18	771	3290
19	811	3246
20	863	3249
21	902	3200
22	938	3140
23	972	3078
24	1006	3018
25	1038	2955
26	1073	2901
27	1109	2852
28	1148	2810
29	1187	2770
30	1221	2718
31	1276	2712
32	1309	2659
33	1341	2604
34	1376	2555
35	1409	2505
36	1443	2458
37	1479	2413
38	1511	2364
39	1544	2316
40	1578	2270
41	1611	2225
42	1645	2181
43	1689	2149
44	1723	2105
45	1758	2064
46	1796	2026
47	1830	1983
48	1863	1939
49	1895	1895
50	1927	1852
51	1959	1809
52	1993	1767
53	2026	1726
54	2061	1686
55	2095	1646
56	2130	1607
57	2179	1578
58	2213	1538
59	2251	1501
60	2284	1460
61	2317	1420
62	2350	1380
63	2382	1340
64	2415	1300
65	2448	1261
66	2482	1222
67	2517	1184
68	2551	1146
69	2592	1110
70	2635	1076
71	2669	1038
72	2717	1004
73	2753	967
74	2788	929
75	2822	891
76	2855	853
77	2888	814
78	2921	776
79	2955	738
80	2989	701
81	3025	664
82	3058	626
83	3093	589
84	3133	552
85	3170	516
86	3204	478
87	3238	441
88	3290	406
89	3327	369
90	3361	332
91	3397	295
92	3432	258
93	3466	221
94	3500	184
95	3536	147
96	3580	110
97	3615	73
98	3650	36
99	3683	0
